id,text,label
ai_1,"It is not recommended to use Primolut N during pregnancy, as it can cause harm to the developing baby. Primolut N is a medication that contains the hormone norethisterone, which is used to regulate the menstrual cycle and treat menstrual disorders. When taken during pregnancy, it can interfere with the normal development of the fetus and increase the risk of birth defects. If you are pregnant and have taken Primolut N, it is important to speak with your healthcare provider as soon as possible. They will be able to advise you on the best course of action and provide any necessary medical care to ensure the health and safety of you and your baby.",1
human_2,"Hello,Thanks for the query to H.C.M. Forum.Pain is on the right side in lower abdominal region, so may be due to .1 Right renal colic , diagnosis can be confirmed by ultrasound of abdomen .2 Amoebic colitis , most possible reason in  this age group . Diagnosis can be confirmed by physical examination .3 Appendicitis , a least possible cause in this age group , so need not to worry . In my opinion consult your physician and get his opinion . At least ,if pain is bearable need not to visit E R .Good luck. Dr. HET",0
ai_3,"If you are experiencing abdominal pain and bloating, especially if it is severe or accompanied by other symptoms such as fever, vomiting, or diarrhea, it is important to seek medical attention as soon as possible. Appendicitis is a potentially serious condition that requires prompt treatment, and the symptoms you have described could be indicative of appendicitis or another serious condition.

If you are unable to reach your doctor or do not have one, it is advisable to go to the nearest emergency department or urgent care center for evaluation and treatment. Do not hesitate to seek medical attention, especially if you are experiencing severe or worsening symptoms. It is better to be safe and get checked out by a medical professional rather than risk worsening your condition.",1
human_4,"Hello, The use of Clindamycin can cause stomach pain or a hyperacidity of the stomach. So, I recommend using a medication to lower the acidity production such as Omeprazole daily. I also suggest using Maalox three times a day and avoid food that can trigger the symptoms such as spicy food. Hope I have answered your query. Let me know if I can assist you further. Take care Regards,Dr. Dorina Gurabardhi, General & Family Physician",0
ai_5,"It is possible that chest pain could be related to the use of Clindamycin and Oxycodone. However, it is also important to consider other potential causes of chest pain, such as heart problems or other underlying health conditions. It is important to speak with a healthcare provider if you are experiencing chest pain, as this could be a serious issue that requires medical attention. In the meantime, you should follow the instructions of your healthcare provider and report any adverse effects to them. If you are experiencing difficulty breathing or severe chest pain, you should seek immediate medical attention.",1
ai_6,"It is difficult to accurately diagnose a condition without examining the affected area in person. However, it is possible that the yellowish sag in your daughter's gum could be a gum boil, also known as a dental abscess. A gum boil is a painful, pus-filled swelling that can occur when bacteria enter the gums and cause an infection.

If you are concerned about your daughter's dental health, it is important to consult a dentist or a pediatrician as soon as possible. They will be able to examine the affected area and provide a proper diagnosis and treatment plan. In the meantime, you can try to reduce any discomfort by gently rinsing your daughter's mouth with warm salt water.

It is also important to ensure that your daughter is practicing good oral hygiene. This includes brushing their teeth at least twice a day, using fluoride toothpaste, and avoiding sugary foods and drinks.

I recommend that you do not try to treat the condition yourself, as it is important to receive a proper diagnosis and treatment from a healthcare professional.",1
human_7,"Hi Dear,Welcome to Healthcaremagic Team.Understanding your concern. As per your query you have symptoms of low grade fever, hot and cold sweats with rashes on arms which seems to be due to viral infection.  Symptoms are because your immunity is lower down because of infection. I would suggest you to start with intake of paracetamol to prevent fever and combination of decongestants and multivitamin tablet. Avoid taking outside food. Drink plenty of fluids.  Your symptoms will resolve in 5-7 days. Avoid touching eyes, nose again and again. If your symptoms keeps on persisting the visit physician and get vaccination done.Hope your concern has been resolved.Get Well Soon.Best Wishes,Dr. Harry Maheshwari",0
ai_8,"I'm sorry to hear that you're feeling sick. It sounds like you may be experiencing some symptoms of an illness or infection. It's important to consult with a healthcare professional to determine the cause of your symptoms and receive proper treatment. In the meantime, there are some things you can try to help alleviate your symptoms:

Get plenty of rest: Try to get as much rest as possible to allow your body to heal and recover.

Stay hydrated: Drink plenty of fluids, such as water and electrolyte-rich beverages, to help prevent dehydration.

Take over-the-counter pain medications: Nonsteroidal anti-inflammatory drugs (NSAIDs) such as acetaminophen (Tylenol) or ibuprofen (Advil) can help reduce fever and body aches.

Use a fever-reducing medication: If your fever is high, you may benefit from taking a fever-reducing medication such as acetaminophen or ibuprofen.

Use a humidifier: A humidifier can help to add moisture to the air, which can help to alleviate cold sweats and reduce the severity of your symptoms.

Avoid exposure to extreme temperatures: Try to stay in a comfortable, temperate environment to avoid exacerbating your symptoms.

It's important to remember that these measures are only meant to provide temporary relief and that it's important to seek medical attention if your symptoms persist or worsen. If you're concerned about your health, it's important to speak with a healthcare professional as soon as possible.",1
human_9,"Hi. The whole problem can be attributed to dust allergy and bronchospasm due to cold. I would suggest the continuation of inhaler therapy for at least three months, a patch test to seek out the allergen, and dust free surroundings, (dust can harbor mites which are known to cause allergy. As you said your problem is increasing day by day I would suggest an ECG and echo just to ensure we are not dealing with an additional cardiac cause here, because usually once the cold or allergy is removed the patient usually returns completely to normal. Allergic rhinitis.",0
ai_10,"Wheezing and shortness of breath can be symptoms of a number of different conditions, including colds, allergies, and asthma. If you are experiencing these symptoms, it is important to speak with a healthcare provider to determine the cause and to receive appropriate treatment.

If you have a cold, there are a few things you can do to help reduce your symptoms:

Get plenty of rest: Your body needs extra energy to fight off the infection, so it is important to get enough rest.

Stay hydrated: Drink plenty of fluids, such as water and broth, to help loosen congestion and keep your throat moist.

Use a humidifier: A humidifier can help to add moisture to the air, which can help to ease congestion and make breathing easier.

Use over-the-counter medications: There are several over-the-counter medications that can help to reduce cold symptoms, such as decongestants and antihistamines.

If you have allergies, it is important to try to avoid exposure to the substances that trigger your symptoms. This may involve using air purifiers, avoiding certain types of food or plants, and taking allergy medications as prescribed by your healthcare provider.

If you have asthma, it is important to follow your asthma action plan as directed by your healthcare provider. This may involve taking medications, such as inhaled corticosteroids, as well as avoiding triggers that can cause asthma symptoms.

It is important to speak with a healthcare provider if you are experiencing persistent or severe wheezing or shortness of breath, or if your symptoms are not responding to over-the-counter treatments. A healthcare provider can help to determine the cause of your symptoms and recommend the most appropriate treatment.",1
