id,text,label
human_1,"Animal cognition encompasses the mental capacities of non-human animals including insect cognition. The study of animal conditioning and learning used in this field was developed from comparative psychology. It has also been strongly influenced by research in ethology, behavioral ecology, and evolutionary psychology;  the alternative name cognitive ethology is sometimes used. Many behaviors associated with the term animal intelligence are also subsumed within animal cognition.
Researchers have examined animal cognition in mammals (especially primates, cetaceans, elephants, dogs, cats, pigs, horses, cattle, raccoons and rodents), birds (including parrots, fowl, corvids and pigeons), reptiles (lizards, snakes, and turtles), fish and invertebrates (including cephalopods, spiders and insects).",0
ai_2,"Animal cognition refers to the mental capacities of non-human animals. It includes the ability to process information, perceive and attend to stimuli, learn and remember, solve problems, and make decisions. These cognitive abilities are thought to be mediated by brain functions, and research on animal cognition seeks to understand the neural and psychological mechanisms underlying these abilities.



Studies of animal cognition have been conducted in a variety of species, including mammals, birds, reptiles, and fish. These studies have revealed that many animals are capable of sophisticated cognitive abilities, such as problem-solving, learning, and decision-making. For example, some animals are able to use tools, communicate with others, and navigate complex environments.



Understanding animal cognition can provide insight into the evolution of cognitive abilities in humans and other animals, and can also inform the development of animal-friendly practices in fields such as animal welfare, conservation, and animal-assisted therapy.",1
human_3,"Human intelligence is the intellectual capability of humans, which is marked by complex cognitive feats and high levels of motivation and self-awareness. High intelligence is associated with better outcomes in life.
Through intelligence, humans possess the cognitive abilities to learn, form concepts, understand, apply logic and reason, including the capacities to recognize patterns, plan, innovate, solve problems, make decisions, retain information, and use language to communicate. There are conflicting ideas about how intelligence is measured, ranging from the idea that intelligence is fixed upon birth, or that it is malleable and can change depending on an individual's mindset and efforts. Several subcategories of intelligence, such as emotional intelligence or social intelligence, are heavily debated as to whether they are traditional forms of intelligence. They are generally thought to be distinct processes that occur, though there is speculation that they tie into traditional intelligence more than previously suspected.",0
ai_4,"Human intelligence is the mental ability to think, learn, and understand concepts. It is what enables us to process, analyze, and use information, as well as to reason, plan, solve problems, and make decisions. Intelligence is a complex and multifaceted concept that is difficult to define and measure, but it is generally considered to include a range of cognitive abilities such as verbal and mathematical aptitude, spatial awareness, memory, and problem-solving skills. Intelligence is an important aspect of human behavior that is thought to be influenced by a combination of genetic and environmental factors.",1
human_5,"The Oxford English Dictionary (OED) is the first and foundational historical dictionary of the English language, published by Oxford University Press (OUP). It traces the historical development of the English language, providing a comprehensive resource to scholars and academic researchers, as well as describing usage in its many variations throughout the world.
Work began on the dictionary in 1857, but it was only in 1884 that it began to be published in unbound fascicles as work continued on the project, under the name of A New English Dictionary on Historical Principles; Founded Mainly on the Materials Collected by The Philological Society. In 1895, the title The Oxford English Dictionary was first used unofficially on the covers of the series, and in 1928 the full dictionary was republished in 10 bound volumes. In 1933, the title The Oxford English Dictionary fully replaced the former name in all occurrences in its reprinting as 12 volumes with a one-volume supplement. More supplements came over the years until 1989, when the second edition was published, comprising 21,728 pages in 20 volumes. Since 2000, compilation of a third edition of the dictionary has been underway, approximately half of which was complete by 2018.
The first electronic version of the dictionary was made available in 1988. The online version has been available since 2000, and by April 2014 was receiving over two million visits per month. The third edition of the dictionary is expected to be available exclusively in electronic form; the Chief Executive of Oxford University Press has stated that it is unlikely that it will ever be printed.",0
ai_6,"The Oxford English Dictionary (OED) is a comprehensive dictionary of the English language, published by the Oxford University Press. It is considered to be the most authoritative and comprehensive English language dictionary in the world, and is a valuable resource for language scholars and professionals.



The OED is a historical dictionary, meaning that it traces the history and development of words and their meanings over time. It contains over 600,000 main entries, with definitions, etymologies, and quotations illustrating the use of words in context. It also includes information about pronunciation, grammar, and regional variations in language usage.



The OED is published in print and online, and is regularly updated to reflect changes in the English language. It is used as a reference work by writers, editors, linguists, and others who are interested in the English language and its usage.",1
human_7,"Oxford University Press (OUP) is the university press of the University of Oxford. It is the largest university press in the world, and its printing history dates back to the 1480s. Having been officially granted the legal right to print books by decree in 1586, it is the second oldest university press after Cambridge University Press.
It is a department of the University of Oxford and is governed by a group of 15 academics known as the Delegates of the Press, who are appointed by the vice-chancellor of the University of Oxford. The Delegates of the Press are led by the Secretary to the Delegates, who serves as OUP's chief executive and as its major representative on other university bodies. Oxford University Press has had a similar governance structure since the 17th century. The press is located on Walton Street, Oxford, opposite Somerville College, in the inner suburb of Jericho.
For the last 500 years, OUP has primarily focused on the publication of pedagogical texts and continues this tradition today by publishing academic journals, dictionaries, English language resources, bibliographies, books on indology, music, classics, literature, history, as well as bibles and atlases.
OUP has offices throughout the world, primarily in locations that were once part of the British Empire (mainly India and the United States).",0
ai_8,"Oxford University Press (OUP) is a department of the University of Oxford in England. It is the largest university press in the world and is a publisher of academic, scholarly, and educational books, journals, and other materials. OUP was founded in 1478 and is one of the oldest publishing houses in the world. It is a not-for-profit organization and its main goal is to further the University's objectives of excellence in research, scholarship, and education. OUP publishes a wide range of materials, including dictionaries, textbooks, scholarly monographs, and research journals in a variety of languages and disciplines. It has offices in more than 50 countries and its products are sold in over 180 countries.",1
ai_9,"AI applications are computer systems that are designed to perform tasks that would normally require human intelligence, such as understanding natural language, recognizing patterns, learning, and making decisions. These tasks are often referred to as ""cognitive computing"" or ""artificial intelligence"" (AI). AI applications can be classified into two broad categories: narrow or general. Narrow AI applications are designed to perform a specific task, such as image recognition or language translation, whereas general AI applications are designed to perform a wide range of tasks and have the ability to learn and adapt as they encounter new situations.



Some examples of AI applications include:



Natural language processing (NLP): This involves the ability of a computer to understand and interpret human language, such as speech or text.



Machine learning: This involves the ability of a computer to learn from data, without being explicitly programmed.



Robotics: This involves the use of AI to control and coordinate the movement of robots.



Computer vision: This involves the ability of a computer to recognize and interpret visual data, such as images and video.



Expert systems: This involves the use of AI to replicate the decision-making ability of a human expert in a specific field.



AI applications have the potential to revolutionize many industries and are being used in a variety of applications, including healthcare, finance, education, transportation, and more. However, the development and use of AI also raise ethical and societal concerns, such as the potential for job displacement and the need for responsible use of the technology.",1
human_10,"A search engine is a software system designed to carry out web searches.  They search the World Wide Web in a systematic way for particular information specified in a textual web search query. The search results are generally presented in a line of results, often referred to as search engine results pages (SERPs). When a user enters a query into a search engine, the engine scans its index of web pages to find those that are relevant to the user's query. The results are then ranked by relevancy and displayed to the user. The information may be a mix of links to web pages, images, videos, infographics, articles, research papers, and other types of files. Some search engines also mine data available in databases or open directories. Unlike web directories and social bookmarking sites, which are maintained by human editors, search engines also maintain real-time information by running an algorithm on a web crawler. Any internet-based content that can't be indexed and searched by a web search engine falls under the category of deep web.",0
