id,label,word_count,sentence_count,avg_sentence_len,avg_word_len,type_token_ratio,noun_count,verb_count,adj_count,adv_count,noun_ratio,verb_ratio,nominal_lemma_count,nominal_lemma_ratio,nominal_suffix_count,top_collocation,top_collocation_pmi
ai_1,1,114,5,22.8,4.65,0.6316,28,16,10,2,0.2456,0.1404,0,0.0,3,,0.0
human_2,0,93,6,15.5,4.37,0.7312,35,8,10,4,0.3763,0.086,0,0.0,1,,0.0
ai_3,1,127,5,25.4,5.09,0.5827,25,14,20,6,0.1969,0.1102,0,0.0,12,,0.0
human_4,0,75,6,12.5,4.64,0.7867,26,13,3,4,0.3467,0.1733,1,0.0385,5,,0.0
ai_5,1,99,5,19.8,5.13,0.6263,27,11,13,2,0.2727,0.1111,0,0.0,2,,0.0
ai_6,1,182,9,20.22,4.68,0.6099,41,23,22,8,0.2253,0.1264,0,0.0,6,it is,4.708388471256582
human_7,0,117,13,9.0,4.96,0.7436,39,19,8,3,0.3333,0.1624,0,0.0,5,,0.0
ai_8,1,240,11,21.82,4.9,0.5333,53,47,30,5,0.2208,0.1958,0,0.0,11,your symptoms,4.649879977402494
human_9,0,98,5,19.6,4.66,0.7245,25,14,7,7,0.2551,0.1429,1,0.04,1,,0.0
ai_10,1,281,12,23.42,4.97,0.4306,79,51,23,3,0.2811,0.1815,3,0.038,13,it is,5.817641528609523
human_11,0,82,5,16.4,4.77,0.7927,26,12,7,4,0.3171,0.1463,1,0.0385,3,,0.0
ai_12,1,281,15,18.73,5.23,0.4769,79,38,30,8,0.2811,0.1352,7,0.0886,9,healthcare provider,5.55460712277573
human_13,0,129,18,7.17,4.96,0.6977,47,21,11,4,0.3643,0.1628,0,0.0,9,,0.0
ai_14,1,178,9,19.78,5.42,0.4944,64,17,25,4,0.3596,0.0955,4,0.0625,15,chest pressure,4.26146889051335
ai_15,1,230,9,25.56,5.14,0.4826,65,34,15,4,0.2826,0.1478,1,0.0154,23,your doctor,5.044421391734202
human_16,0,118,6,19.67,5.47,0.7797,45,16,11,4,0.3814,0.1356,0,0.0,7,,0.0
ai_17,1,202,11,18.36,4.74,0.5198,56,22,24,7,0.2772,0.1089,1,0.0179,5,it is,5.080408773603505
human_18,0,61,7,8.71,5.39,0.7049,21,11,3,4,0.3443,0.1803,1,0.0476,8,,0.0
ai_19,1,309,12,25.75,5.15,0.5243,98,43,37,5,0.3172,0.1392,2,0.0204,19,,0.0
human_20,0,80,7,11.43,4.36,0.7125,30,8,4,2,0.375,0.1,0,0.0,3,,0.0
ai_21,1,325,19,17.11,5.22,0.6062,135,37,31,4,0.4154,0.1138,4,0.0296,33,the skin,4.026813718059647
human_22,0,75,6,12.5,4.96,0.8133,17,13,9,2,0.2267,0.1733,0,0.0,3,,0.0
ai_23,1,161,7,23.0,4.84,0.5466,35,16,16,5,0.2174,0.0994,0,0.0,10,,0.0
ai_24,1,320,14,22.86,4.88,0.4313,99,56,35,5,0.3094,0.175,1,0.0101,11,hair growth,4.156518574567543
human_25,0,140,16,8.75,4.81,0.7357,32,28,11,4,0.2286,0.2,1,0.0312,3,,0.0
ai_26,1,143,7,20.43,5.05,0.6503,38,16,15,7,0.2657,0.1119,2,0.0526,11,it is,4.848067459164734
human_27,0,135,9,15.0,5.04,0.7037,55,14,12,7,0.4074,0.1037,0,0.0,10,,0.0
ai_28,1,243,10,24.3,5.54,0.535,74,35,26,2,0.3045,0.144,1,0.0135,11,healthcare provider,5.608833675049605
human_29,0,74,4,18.5,4.77,0.8108,23,10,6,1,0.3108,0.1351,0,0.0,2,,0.0
ai_30,1,142,7,20.29,5.2,0.6338,41,22,12,2,0.2887,0.1549,0,0.0,9,,0.0
human_31,0,76,6,12.67,5.34,0.7632,24,13,6,3,0.3158,0.1711,0,0.0,6,,0.0
ai_32,1,191,7,27.29,4.92,0.5812,41,22,17,8,0.2147,0.1152,0,0.0,9,it 's,4.362609626404102
human_33,0,228,13,17.54,4.72,0.5921,64,29,25,5,0.2807,0.1272,2,0.0312,17,blood pressure,5.517303446151206
ai_34,1,198,7,28.29,5.13,0.4747,62,28,20,1,0.3131,0.1414,0,0.0,16,blood pressure,4.314733325815481
ai_35,1,177,8,22.12,4.82,0.5028,51,15,15,7,0.2881,0.0847,0,0.0,7,preterm labor,4.668424559471093
human_36,0,154,8,19.25,4.55,0.6494,34,26,10,8,0.2208,0.1688,0,0.0,7,,0.0
ai_37,1,244,13,18.77,5.54,0.5123,86,35,21,2,0.3525,0.1434,0,0.0,6,,0.0
human_38,0,60,6,10.0,4.72,0.7333,18,10,3,4,0.3,0.1667,0,0.0,3,,0.0
ai_39,1,166,8,20.75,5.24,0.5301,52,19,15,1,0.3133,0.1145,1,0.0192,13,,0.0
human_40,0,80,8,10.0,5.76,0.725,27,11,6,3,0.3375,0.1375,0,0.0,7,,0.0
ai_41,1,211,10,21.1,5.27,0.5355,75,31,20,1,0.3555,0.1469,1,0.0133,17,,0.0
human_42,0,69,6,11.5,4.62,0.8261,24,8,4,2,0.3478,0.1159,0,0.0,3,,0.0
ai_43,1,248,9,27.56,4.94,0.4274,84,28,24,1,0.3387,0.1129,4,0.0476,20,condition that,5.63809729430171
human_44,0,66,5,13.2,4.55,0.8333,12,10,6,6,0.1818,0.1515,0,0.0,1,,0.0
ai_45,1,197,12,16.42,4.9,0.5685,62,26,23,7,0.3147,0.132,5,0.0806,17,skin peeling,4.0444312940763885
human_46,0,61,1,61.0,4.39,0.9016,26,9,6,3,0.4262,0.1475,0,0.0,2,,0.0
ai_47,1,236,12,19.67,4.87,0.4788,57,29,36,4,0.2415,0.1229,3,0.0526,9,can cause,5.0407722456037325
human_48,0,195,13,15.0,4.76,0.5538,43,24,30,8,0.2205,0.1231,0,0.0,8,,0.0
ai_49,1,245,10,24.5,5.0,0.5224,67,34,27,8,0.2735,0.1388,0,0.0,16,,0.0
human_50,0,72,8,9.0,3.97,0.7361,17,9,0,2,0.2361,0.125,0,0.0,2,,0.0
ai_51,1,304,13,23.38,4.98,0.477,92,45,18,2,0.3026,0.148,2,0.0217,20,your husband,5.667718542693064
ai_52,1,115,4,28.75,4.84,0.6087,28,11,16,1,0.2435,0.0957,0,0.0,6,,0.0
human_53,0,65,8,8.12,5.35,0.6769,24,13,2,5,0.3692,0.2,1,0.0417,1,,0.0
ai_54,1,224,10,22.4,4.59,0.5223,58,24,27,5,0.2589,0.1071,2,0.0345,14,,0.0
ai_55,1,178,7,25.43,5.12,0.5449,47,21,16,4,0.264,0.118,0,0.0,9,,0.0
human_56,0,57,7,8.14,4.16,0.807,16,9,2,2,0.2807,0.1579,0,0.0,1,,0.0
ai_57,1,176,8,22.0,4.96,0.4659,46,21,19,2,0.2614,0.1193,2,0.0435,10,healthcare professional,5.145724030554903
human_58,0,85,8,10.62,4.82,0.7294,36,8,7,3,0.4235,0.0941,1,0.0278,1,,0.0
ai_59,1,103,5,20.6,4.67,0.6893,21,15,12,3,0.2039,0.1456,0,0.0,7,,0.0
ai_60,1,203,9,22.56,4.2,0.5123,37,23,22,11,0.1823,0.1133,0,0.0,5,,0.0
human_61,0,80,9,8.89,5.35,0.8875,25,11,10,4,0.3125,0.1375,0,0.0,6,,0.0
ai_62,1,126,7,18.0,5.08,0.7222,33,18,19,1,0.2619,0.1429,0,0.0,3,,0.0
ai_63,1,234,11,21.27,4.93,0.5684,51,41,29,5,0.2179,0.1752,0,0.0,12,,0.0
human_64,0,55,3,18.33,4.64,0.5818,19,7,2,0,0.3455,0.1273,0,0.0,7,,0.0
human_65,0,75,9,8.33,4.56,0.7733,22,12,1,5,0.2933,0.16,0,0.0,4,,0.0
human_66,0,163,11,14.82,4.34,0.5828,45,18,14,6,0.2761,0.1104,2,0.0444,7,,0.0
human_67,0,73,6,12.17,4.97,0.8082,16,9,9,4,0.2192,0.1233,0,0.0,2,,0.0
human_68,0,102,10,10.2,4.89,0.6863,27,18,7,8,0.2647,0.1765,1,0.037,7,,0.0
human_69,0,74,9,8.22,4.39,0.7297,24,9,7,4,0.3243,0.1216,0,0.0,8,,0.0
human_70,0,55,5,11.0,5.0,0.8545,16,8,3,1,0.2909,0.1455,0,0.0,5,,0.0
human_71,0,64,8,8.0,5.36,0.8125,25,6,10,0,0.3906,0.0938,0,0.0,6,,0.0
human_72,0,172,14,12.29,4.85,0.7209,57,23,19,5,0.3314,0.1337,0,0.0,6,,0.0
ai_73,1,223,11,20.27,4.55,0.4574,68,21,29,6,0.3049,0.0942,2,0.0294,1,jaw and,4.637458932048191
human_74,0,53,5,10.6,4.36,0.7925,13,9,2,1,0.2453,0.1698,0,0.0,0,,0.0
ai_75,1,253,11,23.0,5.28,0.3834,62,38,17,11,0.2451,0.1502,0,0.0,8,potential risks,5.666779131001341
human_76,0,124,9,13.78,3.93,0.7661,28,17,6,5,0.2258,0.1371,0,0.0,2,,0.0
ai_77,1,171,10,17.1,4.71,0.5322,53,19,19,4,0.3099,0.1111,5,0.0943,4,a rash,3.5194234980255756
ai_78,1,118,6,19.67,5.06,0.6017,34,19,4,4,0.2881,0.161,0,0.0,5,,0.0
ai_79,1,170,8,21.25,5.18,0.5059,39,23,20,7,0.2294,0.1353,0,0.0,14,,0.0
human_80,0,118,7,16.86,4.45,0.7458,35,18,7,3,0.2966,0.1525,0,0.0,5,,0.0
ai_81,1,204,9,22.67,4.5,0.4804,47,23,28,6,0.2304,0.1127,4,0.0851,5,determine the,3.979075048616723
ai_82,1,250,12,20.83,5.2,0.524,78,30,27,2,0.312,0.12,0,0.0,19,it is,4.386604136534937
ai_83,1,318,16,19.88,4.74,0.4874,66,58,35,9,0.2075,0.1824,2,0.0303,15,improve your,4.732464379708148
human_84,0,79,3,26.33,4.66,0.7468,24,14,6,5,0.3038,0.1772,0,0.0,2,,0.0
ai_85,1,168,8,21.0,4.4,0.5655,40,23,12,7,0.2381,0.1369,3,0.075,2,it is,4.079002458196106
human_86,0,75,4,18.75,4.64,0.8,17,10,4,10,0.2267,0.1333,0,0.0,3,,0.0
ai_87,1,184,9,20.44,5.21,0.538,40,22,26,9,0.2174,0.1196,0,0.0,7,it is,4.531424073829983
ai_88,1,152,8,19.0,4.76,0.5658,38,17,18,5,0.25,0.1118,0,0.0,8,,0.0
human_89,0,136,15,9.07,4.69,0.6985,31,19,11,1,0.2279,0.1397,1,0.0323,5,,0.0
ai_90,1,179,8,22.38,5.08,0.5922,41,21,28,4,0.2291,0.1173,1,0.0244,11,it is,4.076860624283271
ai_91,1,237,10,23.7,4.75,0.4937,57,24,27,10,0.2405,0.1013,3,0.0526,10,your husband,5.572915353547315
human_92,0,69,3,23.0,4.71,0.7826,18,11,3,5,0.2609,0.1594,0,0.0,2,,0.0
ai_93,1,278,10,27.8,5.14,0.4137,84,40,34,3,0.3022,0.1439,0,0.0,6,healthcare provider,5.802211884510465
human_94,0,155,9,17.22,4.48,0.6645,35,19,16,11,0.2258,0.1226,0,0.0,2,,0.0
human_95,0,88,9,9.78,4.34,0.6932,23,13,4,5,0.2614,0.1477,0,0.0,4,,0.0
human_96,0,63,8,7.88,4.65,0.8254,18,7,13,4,0.2857,0.1111,0,0.0,2,,0.0
human_97,0,162,11,14.73,4.79,0.6667,48,18,15,9,0.2963,0.1111,0,0.0,6,,0.0
human_98,0,72,10,7.2,4.68,0.7778,15,12,5,2,0.2083,0.1667,0,0.0,3,,0.0
human_99,0,72,8,9.0,4.61,0.8472,21,8,8,2,0.2917,0.1111,0,0.0,5,,0.0
human_100,0,104,13,8.0,5.21,0.7885,30,16,11,2,0.2885,0.1538,0,0.0,3,,0.0
